Actual_AQI,Predicted_AQI,Predicted_Bucket
161.0,205.72507,Poor
114.0,140.4388,Moderate
179.0,197.1803,Moderate
132.0,132.52385,Moderate
132.0,132.52385,Moderate
108.0,100.002266,Moderate
86.0,95.713326,Satisfactory
333.0,324.2951,Very Poor
88.0,96.029755,Satisfactory
132.0,131.06998,Moderate
248.0,215.45769,Poor
221.0,223.33089,Poor
132.0,122.27193,Moderate
139.0,132.53113,Moderate
91.0,95.920845,Satisfactory
40.0,39.517975,Good
68.0,74.553696,Satisfactory
179.0,181.12521,Moderate
332.0,351.77637,Very Poor
75.0,74.5567,Satisfactory
163.0,132.55965,Moderate
132.0,131.43152,Moderate
322.0,298.23224,Poor
131.0,102.91624,Moderate
27.0,37.522274,Good
101.0,108.7781,Moderate
105.0,93.75519,Satisfactory
66.0,71.75468,Satisfactory
131.0,138.832,Moderate
122.0,112.20868,Moderate
110.0,108.72044,Moderate
425.0,397.91953,Very Poor
140.0,109.56631,Moderate
348.0,338.20538,Very Poor
132.0,132.52385,Moderate
174.0,186.36147,Moderate
132.0,132.52385,Moderate
242.0,261.1032,Poor
98.0,78.21312,Satisfactory
25.0,40.00106,Good
249.0,233.02422,Poor
132.0,72.21194,Satisfactory
132.0,132.24051,Moderate
162.0,145.96436,Moderate
67.0,76.128716,Satisfactory
132.0,132.52385,Moderate
363.0,348.57263,Very Poor
88.0,85.10849,Satisfactory
128.0,130.38268,Moderate
90.0,83.852356,Satisfactory
412.0,388.75497,Very Poor
390.0,383.6756,Very Poor
132.0,132.52385,Moderate
66.0,57.25953,Satisfactory
274.0,303.89786,Very Poor
169.0,189.1502,Moderate
132.0,132.52385,Moderate
368.0,327.79688,Very Poor
57.0,70.654945,Satisfactory
480.0,506.9399,Severe
132.0,148.34412,Moderate
420.0,422.26508,Severe
82.0,106.763084,Moderate
201.0,141.74826,Moderate
317.0,307.68204,Very Poor
140.0,137.00177,Moderate
247.0,284.66345,Poor
132.0,131.47704,Moderate
128.0,93.84949,Satisfactory
132.0,147.75388,Moderate
116.0,166.0393,Moderate
107.0,87.57775,Satisfactory
167.0,152.93985,Moderate
436.0,422.68167,Severe
124.0,122.742134,Moderate
124.0,134.7253,Moderate
118.0,126.18912,Moderate
339.0,359.1368,Very Poor
238.0,260.9818,Poor
130.0,132.25986,Moderate
354.0,330.52954,Very Poor
348.0,346.45737,Very Poor
132.0,119.99568,Moderate
296.0,299.25858,Poor
135.0,159.8738,Moderate
83.0,86.03347,Satisfactory
89.0,93.323715,Satisfactory
71.0,68.21243,Satisfactory
132.0,132.28008,Moderate
79.0,67.78825,Satisfactory
133.0,154.80978,Moderate
30.0,38.22179,Good
243.0,246.98486,Poor
101.0,104.24729,Moderate
570.0,559.4453,Severe
132.0,1178.3229,Severe
383.0,383.91898,Very Poor
422.0,421.00488,Severe
88.0,71.01792,Satisfactory
132.0,132.28008,Moderate
138.0,110.25352,Moderate
84.0,81.80735,Satisfactory
50.0,48.907936,Good
104.0,105.150505,Moderate
425.0,407.86148,Severe
132.0,131.43152,Moderate
407.0,365.72308,Very Poor
109.0,77.47829,Satisfactory
455.0,445.33762,Severe
70.0,114.17817,Moderate
60.0,55.12285,Satisfactory
102.0,129.38707,Moderate
307.0,303.40988,Very Poor
469.0,542.00775,Severe
132.0,139.97566,Moderate
44.0,66.81247,Satisfactory
48.0,56.56865,Satisfactory
92.0,102.14353,Moderate
106.0,117.10774,Moderate
101.0,98.19404,Satisfactory
277.0,248.45749,Poor
241.0,280.13098,Poor
59.0,83.045685,Satisfactory
132.0,132.52385,Moderate
38.0,45.697536,Good
132.0,130.1407,Moderate
330.0,334.81174,Very Poor
316.0,281.90768,Poor
242.0,231.07622,Poor
91.0,99.06419,Satisfactory
218.0,232.18497,Poor
327.0,136.13078,Moderate
277.0,300.31152,Very Poor
29.0,38.84316,Good
149.0,126.28977,Moderate
157.0,180.83313,Moderate
132.0,131.47704,Moderate
337.0,336.6627,Very Poor
348.0,387.81738,Very Poor
140.0,156.18654,Moderate
213.0,248.08575,Poor
477.0,512.4158,Severe
127.0,108.4652,Moderate
170.0,170.98784,Moderate
276.0,251.36829,Poor
104.0,118.272415,Moderate
358.0,316.89212,Very Poor
126.0,148.69273,Moderate
339.0,333.31607,Very Poor
132.0,132.52385,Moderate
161.0,176.33868,Moderate
100.0,126.09219,Moderate
104.0,108.7173,Moderate
102.0,122.16686,Moderate
201.0,210.48485,Poor
107.0,108.781815,Moderate
104.0,135.6357,Moderate
177.0,153.51595,Moderate
121.0,103.71232,Moderate
53.0,56.9028,Satisfactory
74.0,78.70397,Satisfactory
317.0,311.45483,Very Poor
127.0,106.91332,Moderate
315.0,295.06195,Poor
166.0,141.02081,Moderate
74.0,55.279892,Satisfactory
73.0,94.90823,Satisfactory
317.0,301.6609,Very Poor
209.0,224.03098,Poor
132.0,132.52385,Moderate
196.0,165.0208,Moderate
349.0,349.30005,Very Poor
132.0,124.698105,Moderate
460.0,437.2032,Severe
143.0,131.14891,Moderate
72.0,99.625496,Satisfactory
103.0,107.80025,Moderate
132.0,130.48235,Moderate
132.0,132.52385,Moderate
69.0,69.09388,Satisfactory
73.0,78.76464,Satisfactory
212.0,268.36185,Poor
73.0,93.6011,Satisfactory
62.0,69.74342,Satisfactory
132.0,132.28008,Moderate
337.0,377.9364,Very Poor
53.0,73.664795,Satisfactory
230.0,267.9052,Poor
65.0,56.155357,Satisfactory
126.0,155.76727,Moderate
132.0,132.38228,Moderate
154.0,129.92317,Moderate
102.0,105.63939,Moderate
250.0,235.82574,Poor
132.0,132.28008,Moderate
252.0,223.82468,Poor
85.0,118.18239,Moderate
92.0,95.17113,Satisfactory
117.0,141.44348,Moderate
53.0,79.68677,Satisfactory
83.0,71.301735,Satisfactory
309.0,303.31277,Very Poor
144.0,133.41243,Moderate
280.0,271.84268,Poor
41.0,43.58896,Good
295.0,321.35712,Very Poor
113.0,117.026505,Moderate
350.0,321.87787,Very Poor
132.0,132.52385,Moderate
295.0,303.91415,Very Poor
184.0,209.81378,Poor
127.0,128.66977,Moderate
104.0,117.32145,Moderate
114.0,111.90501,Moderate
132.0,132.52385,Moderate
132.0,132.52385,Moderate
156.0,156.57413,Moderate
149.0,131.57478,Moderate
309.0,310.42685,Very Poor
132.0,132.28008,Moderate
140.0,159.7357,Moderate
156.0,139.78543,Moderate
164.0,159.82489,Moderate
132.0,132.28008,Moderate
351.0,361.2913,Very Poor
57.0,60.1755,Satisfactory
315.0,326.19962,Very Poor
145.0,152.04082,Moderate
52.0,60.616554,Satisfactory
132.0,132.38228,Moderate
98.0,83.974075,Satisfactory
110.0,115.501495,Moderate
132.0,132.28008,Moderate
19.0,27.120853,Good
88.0,78.691376,Satisfactory
112.0,105.39352,Moderate
132.0,131.47704,Moderate
191.0,200.19101,Poor
132.0,132.52385,Moderate
35.0,40.609905,Good
224.0,243.09941,Poor
137.0,166.96925,Moderate
81.0,86.73154,Satisfactory
118.0,114.23833,Moderate
115.0,86.62267,Satisfactory
149.0,162.23392,Moderate
65.0,86.00091,Satisfactory
141.0,149.26718,Moderate
132.0,131.69237,Moderate
67.0,56.134407,Satisfactory
95.0,91.483055,Satisfactory
366.0,397.19427,Very Poor
132.0,130.68675,Moderate
237.0,192.81271,Moderate
64.0,75.71852,Satisfactory
754.0,804.063,Severe
64.0,63.692524,Satisfactory
132.0,132.52385,Moderate
132.0,132.52385,Moderate
112.0,102.18381,Moderate
98.0,534.0505,Severe
94.0,116.708916,Moderate
216.0,217.27765,Poor
132.0,132.28008,Moderate
357.0,349.11954,Very Poor
296.0,287.46713,Poor
132.0,130.2193,Moderate
117.0,104.47503,Moderate
132.0,132.52385,Moderate
94.0,103.69704,Moderate
280.0,294.54443,Poor
136.0,129.30939,Moderate
132.0,144.07846,Moderate
78.0,71.6351,Satisfactory
331.0,300.53247,Very Poor
59.0,66.088066,Satisfactory
130.0,117.80714,Moderate
88.0,103.954765,Moderate
146.0,157.72992,Moderate
41.0,48.264385,Good
222.0,304.36285,Very Poor
740.0,816.2286,Severe
214.0,260.37735,Poor
52.0,57.638546,Satisfactory
73.0,77.26695,Satisfactory
274.0,294.14835,Poor
85.0,83.48476,Satisfactory
132.0,132.52385,Moderate
123.0,147.32805,Moderate
102.0,106.73144,Moderate
364.0,375.3034,Very Poor
132.0,152.56735,Moderate
132.0,131.47705,Moderate
403.0,378.4607,Very Poor
103.0,89.78676,Satisfactory
132.0,255.25009,Poor
96.0,85.156654,Satisfactory
122.0,126.66112,Moderate
132.0,132.28008,Moderate
35.0,58.300392,Satisfactory
140.0,140.27916,Moderate
80.0,82.08946,Satisfactory
141.0,153.74858,Moderate
132.0,233.85385,Poor
132.0,132.52385,Moderate
209.0,220.06383,Poor
132.0,167.39885,Moderate
653.0,636.5514,Severe
132.0,130.78317,Moderate
124.0,133.34291,Moderate
105.0,122.18686,Moderate
322.0,327.27078,Very Poor
132.0,137.03459,Moderate
44.0,43.60622,Good
282.0,246.66086,Poor
137.0,124.97932,Moderate
176.0,81.26192,Satisfactory
115.0,133.69403,Moderate
166.0,124.24185,Moderate
116.0,126.97971,Moderate
108.0,90.26469,Satisfactory
43.0,48.14732,Good
131.0,165.45683,Moderate
231.0,223.77449,Poor
135.0,149.11224,Moderate
213.0,227.3757,Poor
371.0,387.81973,Very Poor
69.0,85.25982,Satisfactory
186.0,159.81879,Moderate
95.0,83.28138,Satisfactory
132.0,132.28008,Moderate
141.0,137.66092,Moderate
246.0,234.40193,Poor
132.0,132.52385,Moderate
133.0,116.686264,Moderate
320.0,314.29553,Very Poor
328.0,343.9868,Very Poor
160.0,142.21385,Moderate
76.0,91.53043,Satisfactory
316.0,330.19165,Very Poor
404.0,380.52206,Very Poor
53.0,76.43672,Satisfactory
203.0,201.10513,Poor
163.0,136.54286,Moderate
132.0,132.28008,Moderate
114.0,90.7377,Satisfactory
82.0,71.95104,Satisfactory
228.0,185.2906,Moderate
260.0,274.9305,Poor
350.0,268.8014,Poor
83.0,82.253975,Satisfactory
97.0,100.57736,Moderate
568.0,511.3927,Severe
309.0,335.80096,Very Poor
132.0,131.47704,Moderate
384.0,379.53262,Very Poor
166.0,201.57756,Poor
132.0,90.2736,Satisfactory
212.0,248.31935,Poor
290.0,223.32626,Poor
82.0,87.17582,Satisfactory
271.0,269.98984,Poor
186.0,157.48671,Moderate
117.0,120.260735,Moderate
207.0,245.63205,Poor
36.0,45.54988,Good
132.0,131.47704,Moderate
118.0,121.75378,Moderate
45.0,53.834866,Satisfactory
125.0,106.333405,Moderate
316.0,282.0206,Poor
104.0,106.974884,Moderate
267.0,261.579,Poor
132.0,147.21327,Moderate
53.0,54.269974,Satisfactory
95.0,87.9566,Satisfactory
91.0,104.05167,Moderate
134.0,114.57949,Moderate
100.0,118.25657,Moderate
57.0,67.661644,Satisfactory
100.0,91.78222,Satisfactory
59.0,57.38135,Satisfactory
582.0,649.56964,Severe
366.0,390.8446,Very Poor
84.0,86.87098,Satisfactory
115.0,124.10751,Moderate
107.0,93.642555,Satisfactory
459.0,418.64597,Severe
132.0,67.235016,Satisfactory
133.0,133.60863,Moderate
94.0,103.69991,Moderate
277.0,328.9595,Very Poor
238.0,245.12267,Poor
132.0,165.06708,Moderate
533.0,499.47668,Severe
182.0,186.3886,Moderate
132.0,147.75388,Moderate
132.0,127.92631,Moderate
126.0,122.28698,Moderate
361.0,315.2133,Very Poor
97.0,98.16918,Satisfactory
132.0,132.52385,Moderate
199.0,208.7356,Poor
229.0,354.03302,Very Poor
54.0,66.95695,Satisfactory
85.0,78.37112,Satisfactory
211.0,177.19066,Moderate
52.0,57.69006,Satisfactory
132.0,132.52385,Moderate
54.0,66.66091,Satisfactory
130.0,137.65054,Moderate
90.0,132.16231,Moderate
132.0,127.0114,Moderate
107.0,116.823074,Moderate
629.0,595.2273,Severe
324.0,321.2799,Very Poor
132.0,132.52385,Moderate
299.0,311.0008,Very Poor
327.0,344.6088,Very Poor
114.0,113.53498,Moderate
49.0,62.753056,Satisfactory
132.0,130.70055,Moderate
85.0,72.139755,Satisfactory
220.0,239.43414,Poor
179.0,219.6342,Poor
131.0,132.97235,Moderate
132.0,129.7854,Moderate
69.0,87.618126,Satisfactory
161.0,156.87425,Moderate
132.0,132.52385,Moderate
79.0,83.61786,Satisfactory
102.0,168.78307,Moderate
148.0,160.78421,Moderate
478.0,467.5432,Severe
45.0,54.104366,Satisfactory
132.0,110.47374,Moderate
105.0,99.753815,Satisfactory
130.0,159.54417,Moderate
132.0,157.63666,Moderate
194.0,206.21756,Poor
258.0,247.74908,Poor
294.0,231.75177,Poor
250.0,244.92885,Poor
132.0,130.5203,Moderate
132.0,126.54855,Moderate
92.0,120.79907,Moderate
132.0,132.52385,Moderate
108.0,108.680275,Moderate
188.0,128.09705,Moderate
49.0,60.42555,Satisfactory
81.0,62.113964,Satisfactory
69.0,72.42382,Satisfactory
72.0,92.87209,Satisfactory
266.0,253.90077,Poor
39.0,56.055542,Satisfactory
83.0,78.988205,Satisfactory
138.0,125.81629,Moderate
96.0,102.705635,Moderate
132.0,132.28008,Moderate
55.0,49.736897,Good
217.0,211.62971,Poor
121.0,125.899734,Moderate
105.0,104.82833,Moderate
215.0,182.3155,Moderate
147.0,163.56541,Moderate
215.0,220.61284,Poor
192.0,172.61957,Moderate
129.0,167.17004,Moderate
62.0,53.612137,Satisfactory
45.0,57.00667,Satisfactory
132.0,132.52385,Moderate
132.0,135.59451,Moderate
56.0,54.180786,Satisfactory
136.0,141.78645,Moderate
234.0,220.08415,Poor
42.0,51.541782,Satisfactory
79.0,79.79297,Satisfactory
370.0,387.9909,Very Poor
81.0,86.37194,Satisfactory
564.0,615.8231,Severe
132.0,132.28008,Moderate
126.0,99.96006,Satisfactory
88.0,97.0223,Satisfactory
132.0,94.204124,Satisfactory
194.0,202.5137,Poor
113.0,128.81256,Moderate
68.0,97.11138,Satisfactory
132.0,132.28008,Moderate
126.0,127.68563,Moderate
118.0,127.20284,Moderate
132.0,132.52385,Moderate
55.0,65.0301,Satisfactory
334.0,323.55914,Very Poor
421.0,413.67227,Severe
132.0,121.23215,Moderate
26.0,34.4084,Good
62.0,69.26612,Satisfactory
219.0,203.02782,Poor
446.0,403.00952,Severe
256.0,244.91747,Poor
181.0,185.35399,Moderate
215.0,221.28398,Poor
305.0,283.82568,Poor
467.0,429.74988,Severe
87.0,105.90719,Moderate
153.0,172.154,Moderate
132.0,132.52385,Moderate
99.0,95.960884,Satisfactory
132.0,129.41782,Moderate
308.0,299.76382,Poor
59.0,74.376625,Satisfactory
106.0,115.85106,Moderate
140.0,144.85709,Moderate
322.0,309.75867,Very Poor
196.0,197.16765,Moderate
62.0,78.13529,Satisfactory
235.0,232.41013,Poor
108.0,118.38336,Moderate
132.0,132.38228,Moderate
198.0,204.26682,Poor
350.0,379.43073,Very Poor
179.0,173.96303,Moderate
79.0,81.66013,Satisfactory
94.0,111.8905,Moderate
65.0,73.080795,Satisfactory
298.0,297.76526,Poor
107.0,88.3155,Satisfactory
134.0,193.23347,Moderate
132.0,132.38228,Moderate
109.0,133.3321,Moderate
114.0,132.96306,Moderate
132.0,131.43152,Moderate
132.0,132.52385,Moderate
129.0,92.82039,Satisfactory
79.0,87.591805,Satisfactory
132.0,131.47704,Moderate
132.0,132.52385,Moderate
132.0,132.28008,Moderate
622.0,548.14404,Severe
132.0,130.969,Moderate
132.0,131.43152,Moderate
226.0,187.4519,Moderate
108.0,126.26567,Moderate
102.0,94.52589,Satisfactory
321.0,447.1836,Severe
170.0,97.98734,Satisfactory
387.0,341.84402,Very Poor
41.0,45.636982,Good
50.0,56.65148,Satisfactory
111.0,136.69482,Moderate
132.0,146.7261,Moderate
96.0,97.990715,Satisfactory
132.0,137.70464,Moderate
164.0,140.72006,Moderate
324.0,299.94003,Poor
88.0,101.269844,Moderate
139.0,144.69693,Moderate
55.0,62.25805,Satisfactory
220.0,179.1507,Moderate
132.0,131.69237,Moderate
334.0,361.28522,Very Poor
93.0,100.30846,Moderate
62.0,59.271492,Satisfactory
196.0,168.07379,Moderate
200.0,234.76395,Poor
126.0,183.18466,Moderate
53.0,62.522236,Satisfactory
210.0,197.47873,Moderate
99.0,139.7097,Moderate
54.0,65.47756,Satisfactory
248.0,260.99585,Poor
156.0,123.55448,Moderate
123.0,119.26505,Moderate
248.0,242.36588,Poor
89.0,112.98892,Moderate
131.0,141.52592,Moderate
96.0,121.15127,Moderate
191.0,200.46837,Poor
177.0,174.30568,Moderate
53.0,63.933445,Satisfactory
77.0,78.97672,Satisfactory
221.0,226.0809,Poor
374.0,338.17377,Very Poor
132.0,77.5129,Satisfactory
132.0,132.52385,Moderate
140.0,151.82333,Moderate
77.0,91.14514,Satisfactory
173.0,153.6239,Moderate
408.0,250.15327,Poor
132.0,132.38228,Moderate
109.0,115.93606,Moderate
142.0,140.92882,Moderate
40.0,48.630558,Good
132.0,131.57565,Moderate
132.0,132.52385,Moderate
108.0,124.39654,Moderate
171.0,116.72908,Moderate
158.0,128.8493,Moderate
71.0,74.457634,Satisfactory
29.0,28.390392,Good
132.0,132.52385,Moderate
310.0,263.86316,Poor
270.0,262.20248,Poor
84.0,81.11621,Satisfactory
132.0,130.70055,Moderate
262.0,258.5094,Poor
228.0,251.821,Poor
188.0,111.279755,Moderate
132.0,131.6362,Moderate
322.0,311.32654,Very Poor
109.0,117.9045,Moderate
60.0,68.717155,Satisfactory
104.0,110.617065,Moderate
174.0,189.03435,Moderate
130.0,142.65663,Moderate
93.0,92.89056,Satisfactory
130.0,111.641495,Moderate
112.0,118.2697,Moderate
132.0,122.40638,Moderate
298.0,326.0543,Very Poor
320.0,328.68918,Very Poor
62.0,68.782646,Satisfactory
361.0,348.91522,Very Poor
244.0,224.81557,Poor
132.0,294.00186,Poor
168.0,176.02983,Moderate
32.0,60.11834,Satisfactory
63.0,70.929726,Satisfactory
132.0,146.15369,Moderate
301.0,278.4468,Poor
76.0,101.47131,Moderate
286.0,296.50165,Poor
64.0,73.30987,Satisfactory
95.0,114.05789,Moderate
132.0,132.52385,Moderate
86.0,101.67208,Moderate
224.0,257.4123,Poor
64.0,74.197784,Satisfactory
98.0,127.12658,Moderate
214.0,200.94159,Poor
75.0,81.289696,Satisfactory
55.0,74.953835,Satisfactory
539.0,434.92926,Severe
351.0,381.76123,Very Poor
46.0,66.65515,Satisfactory
70.0,70.26616,Satisfactory
55.0,63.0781,Satisfactory
132.0,124.25473,Moderate
76.0,75.97263,Satisfactory
66.0,64.45771,Satisfactory
67.0,104.163025,Moderate
101.0,129.67294,Moderate
127.0,113.69118,Moderate
132.0,133.72115,Moderate
180.0,83.63625,Satisfactory
360.0,344.78455,Very Poor
67.0,96.37405,Satisfactory
63.0,70.681366,Satisfactory
83.0,106.087296,Moderate
96.0,90.71808,Satisfactory
132.0,132.52385,Moderate
132.0,127.31877,Moderate
407.0,295.66058,Poor
132.0,132.52385,Moderate
327.0,323.02777,Very Poor
132.0,132.52385,Moderate
311.0,252.15479,Poor
70.0,83.6785,Satisfactory
132.0,132.28008,Moderate
132.0,131.79663,Moderate
64.0,64.85516,Satisfactory
132.0,131.68047,Moderate
280.0,268.9401,Poor
73.0,60.493744,Satisfactory
317.0,304.23245,Very Poor
118.0,129.78838,Moderate
373.0,294.4226,Poor
484.0,354.57977,Very Poor
354.0,348.29776,Very Poor
69.0,70.98922,Satisfactory
357.0,390.38315,Very Poor
132.0,132.52385,Moderate
101.0,99.17439,Satisfactory
205.0,266.01895,Poor
76.0,81.1581,Satisfactory
132.0,143.87233,Moderate
168.0,182.12042,Moderate
124.0,143.7487,Moderate
297.0,306.74173,Very Poor
67.0,61.250923,Satisfactory
112.0,136.43042,Moderate
132.0,132.28008,Moderate
122.0,151.96129,Moderate
36.0,42.852886,Good
95.0,69.46602,Satisfactory
76.0,69.076355,Satisfactory
89.0,110.50473,Moderate
105.0,127.60697,Moderate
132.0,132.52385,Moderate
142.0,127.56463,Moderate
132.0,132.52385,Moderate
186.0,154.43294,Moderate
170.0,227.024,Poor
78.0,147.71483,Moderate
95.0,107.37853,Moderate
430.0,384.1507,Very Poor
132.0,132.28008,Moderate
317.0,260.58798,Poor
263.0,254.48306,Poor
243.0,202.13274,Poor
69.0,71.90228,Satisfactory
63.0,69.32419,Satisfactory
159.0,148.25938,Moderate
286.0,264.07797,Poor
132.0,132.52385,Moderate
132.0,132.52385,Moderate
101.0,120.203,Moderate
45.0,66.65342,Satisfactory
107.0,111.46456,Moderate
80.0,97.27539,Satisfactory
50.0,57.35904,Satisfactory
306.0,347.4729,Very Poor
248.0,282.1352,Poor
30.0,31.006002,Good
84.0,107.75798,Moderate
318.0,303.43472,Very Poor
450.0,433.053,Severe
146.0,153.24902,Moderate
62.0,82.11694,Satisfactory
48.0,64.70591,Satisfactory
132.0,131.43152,Moderate
370.0,382.51022,Very Poor
80.0,79.83119,Satisfactory
132.0,609.10657,Severe
81.0,75.45028,Satisfactory
267.0,206.22458,Poor
122.0,142.39828,Moderate
132.0,132.52385,Moderate
77.0,54.88843,Satisfactory
345.0,344.70898,Very Poor
106.0,108.13838,Moderate
545.0,545.81726,Severe
167.0,183.01125,Moderate
132.0,131.27576,Moderate
119.0,132.42583,Moderate
132.0,132.52385,Moderate
215.0,221.61102,Poor
75.0,90.92719,Satisfactory
132.0,132.52385,Moderate
300.0,270.4101,Poor
318.0,319.77423,Very Poor
207.0,190.6243,Moderate
109.0,134.41187,Moderate
30.0,36.418118,Good
162.0,120.36728,Moderate
132.0,132.52385,Moderate
112.0,98.123795,Satisfactory
62.0,86.63681,Satisfactory
61.0,83.62144,Satisfactory
66.0,77.36983,Satisfactory
113.0,123.29468,Moderate
339.0,318.28683,Very Poor
124.0,119.695,Moderate
102.0,104.37984,Moderate
90.0,92.27582,Satisfactory
132.0,132.32426,Moderate
208.0,158.59346,Moderate
159.0,147.52783,Moderate
57.0,62.12396,Satisfactory
472.0,462.004,Severe
62.0,62.064713,Satisfactory
270.0,311.31702,Very Poor
98.0,95.4445,Satisfactory
158.0,211.33087,Poor
141.0,118.90225,Moderate
379.0,418.39142,Severe
156.0,160.12987,Moderate
132.0,121.84716,Moderate
488.0,474.42114,Severe
199.0,229.07822,Poor
196.0,223.77394,Poor
132.0,132.52385,Moderate
307.0,285.78165,Poor
131.0,64.27273,Satisfactory
111.0,149.18073,Moderate
219.0,174.86006,Moderate
30.0,58.064487,Satisfactory
79.0,64.70037,Satisfactory
135.0,163.26054,Moderate
68.0,57.071568,Satisfactory
132.0,293.2674,Poor
132.0,131.43152,Moderate
657.0,429.89465,Severe
230.0,223.88736,Poor
133.0,147.23657,Moderate
121.0,123.46032,Moderate
167.0,171.3083,Moderate
259.0,158.06384,Moderate
96.0,106.74809,Moderate
107.0,98.93245,Satisfactory
130.0,109.72848,Moderate
373.0,389.72305,Very Poor
259.0,248.30927,Poor
124.0,143.284,Moderate
356.0,335.1602,Very Poor
132.0,132.28008,Moderate
85.0,89.72846,Satisfactory
299.0,215.5257,Poor
318.0,232.85728,Poor
96.0,100.30001,Moderate
308.0,309.27646,Very Poor
52.0,70.28559,Satisfactory
102.0,111.11936,Moderate
157.0,149.47711,Moderate
132.0,132.28008,Moderate
188.0,134.59201,Moderate
132.0,408.5877,Severe
123.0,99.23148,Satisfactory
76.0,63.67173,Satisfactory
132.0,132.52385,Moderate
465.0,387.26794,Very Poor
132.0,132.52385,Moderate
82.0,98.17154,Satisfactory
379.0,379.3974,Very Poor
48.0,58.091686,Satisfactory
124.0,120.77559,Moderate
152.0,121.69377,Moderate
132.0,132.52385,Moderate
414.0,505.86053,Severe
394.0,345.9445,Very Poor
137.0,109.895454,Moderate
60.0,64.00233,Satisfactory
252.0,227.5575,Poor
132.0,135.1231,Moderate
132.0,86.3567,Satisfactory
132.0,131.67888,Moderate
226.0,205.38148,Poor
235.0,133.55191,Moderate
132.0,132.4844,Moderate
59.0,87.062164,Satisfactory
45.0,57.692524,Satisfactory
112.0,117.223366,Moderate
107.0,123.44671,Moderate
96.0,79.58199,Satisfactory
156.0,166.1512,Moderate
80.0,69.09198,Satisfactory
350.0,350.4104,Very Poor
108.0,102.386894,Moderate
130.0,126.61951,Moderate
113.0,149.04817,Moderate
132.0,131.35977,Moderate
102.0,117.51533,Moderate
141.0,128.97884,Moderate
122.0,76.65027,Satisfactory
78.0,80.6382,Satisfactory
132.0,132.52385,Moderate
132.0,184.76407,Moderate
338.0,291.6194,Poor
322.0,313.22836,Very Poor
132.0,132.52385,Moderate
215.0,204.24896,Poor
267.0,247.37248,Poor
95.0,85.00486,Satisfactory
66.0,76.76981,Satisfactory
140.0,111.772446,Moderate
392.0,408.6647,Severe
104.0,132.75938,Moderate
272.0,314.13275,Very Poor
116.0,125.77281,Moderate
84.0,98.486534,Satisfactory
132.0,36.66869,Good
334.0,411.5349,Severe
